region,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual,jan-feb,mar-may,jun-sep,oct-dec,winter,summer,monsoon,post_monsoon,annual_calc
ARUNACHAL PRADESH,1966,22.4,91.5,98.4,180.2,177.9,473.2,432.7,411.6,197.6,78.9,39.0,6.3,2209.6,113.8,456.5,1515.1,124.2,113.9,456.5,1515.1,124.2,2209.7000000000003
ARUNACHAL PRADESH,1967,13.3,45.5,147.9,96.6,164.0,253.1,434.5,220.8,212.8,58.5,10.0,11.5,1668.5,58.8,408.5,1121.2,80.0,58.8,408.5,1121.2,80.0,1668.5
ARUNACHAL PRADESH,1968,54.2,41.4,135.9,117.6,307.2,510.1,404.8,227.5,243.5,75.8,12.5,8.4,2139.0,95.7,560.7,1385.9,96.8,95.6,560.7,1385.9,96.7,2138.9
ARUNACHAL PRADESH,1969,19.2,10.0,33.8,127.0,202.3,412.3,405.1,333.9,241.4,42.9,34.8,15.1,1877.7,29.2,363.1,1392.7,92.8,29.2,363.1,1392.7000000000003,92.79999999999998,1877.8
ARUNACHAL PRADESH,1970,49.2,78.8,57.4,108.8,213.4,409.6,377.9,245.4,287.4,138.6,6.9,0.0,1973.4,128.0,379.7,1320.2,145.5,128.0,379.6,1320.3000000000002,145.5,1973.4
ARUNACHAL PRADESH,1971,56.0,67.8,47.1,121.8,222.4,446.0,385.5,288.2,239.6,235.1,67.8,7.3,2184.5,123.8,391.3,1359.3,310.2,123.8,391.3,1359.3,310.2,2184.6000000000004
ARUNACHAL PRADESH,1972,39.2,114.2,108.3,231.5,299.5,314.4,438.3,270.7,334.5,83.3,25.9,21.5,2281.3,153.5,639.3,1357.9,130.7,153.4,639.3,1357.9,130.7,2281.3
ARUNACHAL PRADESH,1973,136.4,147.1,82.3,215.3,256.5,571.1,284.8,271.3,258.3,110.2,88.9,35.4,2457.5,283.5,554.0,1385.5,234.4,283.5,554.1,1385.5,234.50000000000003,2457.6
ARUNACHAL PRADESH,1974,130.9,95.4,127.8,272.6,248.3,466.7,648.9,446.8,461.2,121.1,14.0,30.3,3063.9,226.3,648.7,2023.5,165.4,226.3,648.7,2023.6,165.4,3064.0
ARUNACHAL PRADESH,1975,17.3,76.9,101.7,165.1,188.0,268.5,427.0,185.2,297.0,451.6,21.5,13.6,2213.3,94.2,454.8,1177.7,486.6,94.2,454.8,1177.7,486.70000000000005,2213.4
